ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
48,TEXAS,TX,48001,Anderson,48001951100,"Census Tract 9511, Anderson County, Texas",297.26534874157,4155,556,2191,148,1549,138,423,178,52,46,25612,2736,410,175,926,121,875,273,536,150,22,29,1120,662,89,110,33,45,816,142,80,62,42,26,0,13,10.2,4.2,2.9,2.5,25612.0,2736.0,13.6,5.5,22.3,4.0,21.1,5.9,12.9,3.4,1.4,1.9,27.0,15.5,2.3,2.8,1.5,2.1,37.2,5.8,5.2,4.0,2.7,1.7,0.0,0.3,0.3539,0.2009,0.5037,0.4633,1.5218,0.3527,0.9183,0.2362,0.5788,0.0281,1.7614,0.3352,0.1796,0.337,0.5166,0.2401,0.3405,0.9699,0.6236,0.3533,0.0,2.2873,0.4943,6.0871,0.3358,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,615,276,14.8,6.1,1185
48,TEXAS,TX,48003,Andrews,48003950100,"Census Tract 9501, Andrews County, Texas",1013.136789334232,2254,236,769,72,729,82,245,171,43,40,54094,23462,278,96,254,77,723,135,137,70,37,34,1087,315,152,97,0,18,139,54,11,11,6,10,0,13,10.9,7.1,3.8,3.5,54094.0,23462.0,20.1,6.4,11.3,3.3,32.1,5.0,6.1,2.9,5.1,4.7,48.2,13.1,7.4,4.7,0.0,2.4,18.1,7.0,1.5,1.6,0.8,1.3,0.0,0.6,0.3831,0.3319,0.0758,0.6282,1.419,0.3195,0.4411,0.8594,0.1032,0.2052,1.6089,0.2532,0.4243,0.6496,1.0739,0.5537,0.0,0.8368,0.236,0.1047,0.0,1.1775,0.1157,5.2793,0.2312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,194,13.8,8.5,2732
48,TEXAS,TX,48003,Andrews,48003950200,"Census Tract 9502, Andrews County, Texas",1.969381204952,7281,507,2724,158,2416,171,1035,608,220,177,31191,3792,1013,297,835,111,1991,317,745,243,63,76,4100,614,499,268,108,86,13,21,161,125,118,87,85,39,14.4,8.2,5.9,4.6,31191.0,3792.0,22.5,6.5,11.5,1.7,27.3,3.9,10.4,3.4,2.6,3.2,56.3,7.5,7.5,4.0,4.0,3.2,0.5,0.8,6.7,5.2,4.9,3.6,1.2,0.5,0.5098,0.6082,0.3377,0.675,2.1307,0.5475,0.4587,0.6106,0.4036,0.0733,1.5462,0.2216,0.5067,0.654,1.1607,0.5983,0.4606,0.3952,0.7192,0.5594,0.7676,2.902,0.757,7.7396,0.5655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,392,10.7,5.3,6633
48,TEXAS,TX,48003,Andrews,48003950300,"Census Tract 9503, Andrews County, Texas",2.00577865439,5097,499,1687,117,1466,160,506,229,102,109,20669,2459,861,214,479,104,1953,323,377,153,210,95,3832,577,541,213,73,57,504,138,141,97,15,19,8,7,10.0,4.6,4.6,5.0,20669.0,2459.0,32.6,7.0,9.4,2.2,38.3,5.1,7.4,3.1,14.3,6.3,75.2,8.6,11.8,4.5,4.3,3.4,29.9,8.2,9.6,6.6,1.0,1.3,0.2,0.1,0.3455,0.4416,0.6818,0.8257,2.2946,0.5955,0.3129,0.9837,0.1787,0.755,2.2303,0.6388,0.6764,0.7747,1.4511,0.7397,0.4723,0.9357,0.8441,0.1293,0.587,2.9684,0.7798,8.9444,0.7185,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2,1455,500,28.6,8.6,4156
48,TEXAS,TX,48003,Andrews,48003950400,"Census Tract 9504, Andrews County, Texas",483.608711437354,3186,239,1027,121,897,129,49,48,39,41,31816,6427,543,125,275,87,852,178,356,136,41,44,1584,345,114,86,0,18,596,113,96,50,30,35,0,13,1.5,1.5,2.5,2.7,31816.0,6427.0,26.2,5.2,8.6,2.9,26.7,5.2,11.2,4.3,4.6,5.0,49.7,10.2,3.8,2.9,0.0,1.8,58.0,9.0,10.7,5.4,3.3,3.8,0.0,0.4,0.0201,0.1498,0.3226,0.7425,1.235,0.26,0.2599,0.5645,0.4576,0.1727,1.4547,0.186,0.4407,0.477,0.9177,0.4675,0.0,0.9975,0.8749,0.417,0.0,2.2894,0.4951,5.8968,0.3109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,690,193,21.7,5.9,1606
48,TEXAS,TX,48005,Angelina,48005000101,"Census Tract 1.01, Angelina County, Texas",97.797184466198,6513,633,2475,140,2085,158,1059,533,195,127,21489,2464,754,202,878,169,1677,350,1086,294,197,119,1044,853,131,113,0,26,623,182,129,108,118,74,433,168,16.4,7.6,6.4,4.1,21489.0,2464.0,17.6,4.4,13.5,2.7,25.7,4.8,16.9,4.7,9.4,5.7,16.0,13.0,2.1,1.9,0.0,1.1,25.2,7.3,6.2,5.2,5.7,3.4,6.6,2.5,0.5792,0.6593,0.6512,0.5725,2.4622,0.6469,0.5817,0.5036,0.7979,0.4929,2.3761,0.7296,0.0618,0.3156,0.3774,0.1626,0.0,0.9022,0.6899,0.6167,0.9346,3.1434,0.8431,8.3591,0.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1039,325,16.1,4.9,3263
48,TEXAS,TX,48005,Angelina,48005000102,"Census Tract 1.02, Angelina County, Texas",60.383672479916,4726,447,1817,107,1570,127,407,173,64,46,27650,3069,217,90,551,85,1439,179,607,191,77,49,644,603,35,57,0,18,343,98,66,46,63,48,0,13,8.6,3.7,2.8,2.0,27650.0,3069.0,7.2,2.9,11.7,1.8,30.4,2.5,12.9,3.8,4.9,3.1,13.6,12.7,0.8,1.3,0.0,1.0,18.9,5.2,4.2,3.0,4.0,3.0,0.0,0.3,0.2899,0.1882,0.4356,0.251,1.1647,0.2399,0.4746,0.7833,0.5788,0.1922,2.0289,0.5003,0.0425,0.1419,0.1844,0.0698,0.0,0.8458,0.5438,0.4847,0.0,1.8743,0.3184,5.2523,0.2277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,131,6.1,2.8,3757
48,TEXAS,TX,48005,Angelina,48005000200,"Census Tract 2, Angelina County, Texas",48.536701724264,6817,813,2821,163,2374,202,1201,623,202,105,17594,2439,1005,356,879,199,2038,431,1201,347,288,151,2564,976,414,188,0,26,962,223,155,116,64,55,5,4,17.6,9.1,6.9,3.5,17594.0,2439.0,23.5,6.8,12.9,2.7,29.9,5.2,17.6,5.0,12.1,6.3,37.6,13.6,6.5,2.9,0.0,1.0,34.1,7.7,6.5,4.9,2.7,2.4,0.1,0.1,0.6097,0.7099,0.7831,0.694,2.7967,0.7534,0.545,0.7571,0.8261,0.6519,2.7801,0.9063,0.3085,0.6173,0.9258,0.4711,0.0,0.9584,0.7079,0.3533,0.5245,2.5441,0.6112,9.0467,0.7325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1630,513,23.9,6.2,2594
48,TEXAS,TX,48005,Angelina,48005000301,"Census Tract 3.01, Angelina County, Texas",14.08365925555,5524,580,2302,134,2037,165,866,273,167,118,24139,3297,478,200,760,197,1492,262,998,263,322,162,1736,769,55,84,53,43,866,180,60,59,42,39,15,9,16.0,5.2,6.1,4.3,24139.0,3297.0,13.4,5.5,13.8,3.6,27.0,3.8,18.1,4.7,15.8,7.9,31.4,13.5,1.1,1.6,2.3,1.9,37.6,7.3,2.9,2.9,2.1,1.9,0.3,0.2,0.5663,0.6295,0.5535,0.4566,2.2059,0.5688,0.5964,0.5859,0.8426,0.8127,2.8376,0.9234,0.232,0.1817,0.4137,0.1848,0.3908,0.9716,0.412,0.2826,0.6337,2.6907,0.6739,8.1479,0.6187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,927,339,16.8,5.9,2879
48,TEXAS,TX,48005,Angelina,48005000302,"Census Tract 3.02, Angelina County, Texas",22.409420311912,5198,411,2208,140,2008,164,832,297,211,119,26936,2942,459,140,802,115,1394,242,941,212,238,87,1680,543,162,141,250,105,736,129,105,66,117,68,0,19,16.0,5.6,8.4,4.7,26936.0,2942.0,13.6,3.9,15.4,2.4,26.8,4.1,18.1,3.8,11.9,4.2,32.3,10.1,3.3,2.9,11.3,4.7,33.3,5.7,5.2,3.3,5.8,3.3,0.0,0.4,0.5663,0.8171,0.4587,0.4633,2.3054,0.5993,0.6821,0.5717,0.8426,0.6402,2.7366,0.8887,0.2412,0.4382,0.6794,0.3336,0.6444,0.9536,0.6236,0.6236,0.0,2.8452,0.7355,8.5666,0.6734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,933,290,17.9,5.4,4380
48,TEXAS,TX,48005,Angelina,48005000400,"Census Tract 4, Angelina County, Texas",4.875440456476,4538,563,2244,135,1785,229,1062,397,101,86,18597,2367,658,231,942,196,995,231,958,287,290,161,2081,759,75,93,230,140,128,71,99,93,210,112,452,133,25.3,9.3,5.5,5.0,18597.0,2367.0,20.4,6.5,20.8,4.4,21.9,4.3,22.8,6.6,16.2,8.8,45.9,15.7,1.7,2.1,10.2,6.2,5.7,3.2,5.5,5.2,11.8,6.2,10.0,2.7,0.7847,0.5573,0.7517,0.6358,2.7295,0.7325,0.8877,0.2749,0.9558,0.8288,2.9472,0.9519,0.3998,0.2664,0.6662,0.3256,0.6266,0.6666,0.6438,0.8638,0.9518,3.7526,0.9726,10.0955,0.8719,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,981,330,23.4,6.8,10553
48,TEXAS,TX,48005,Angelina,48005000500,"Census Tract 5, Angelina County, Texas",5.776924919646,3940,483,1734,124,1441,157,1457,484,287,144,14328,1697,731,220,605,130,785,206,1049,199,220,101,3368,507,304,184,0,18,112,58,16,19,239,92,17,15,37.4,10.4,17.0,7.9,14328.0,1697.0,28.1,7.2,15.4,3.5,19.9,4.6,26.7,5.7,15.3,6.8,85.5,7.5,8.2,4.9,0.0,1.1,6.5,3.3,1.1,1.3,16.6,5.8,0.4,0.4,0.9308,0.9851,0.8914,0.7686,3.5759,0.9601,0.6821,0.188,0.9864,0.7938,2.6503,0.8575,0.7752,0.6792,1.4544,0.742,0.0,0.6798,0.1865,0.9386,0.6645,2.4694,0.5774,10.15,0.88,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,4,1095,316,27.9,6.5,4597
48,TEXAS,TX,48005,Angelina,48005000600,"Census Tract 6, Angelina County, Texas",5.894756686312,6716,474,2109,128,1889,150,1229,398,183,104,17424,4123,1108,222,855,152,1984,271,980,215,222,95,5038,587,509,192,0,26,244,73,267,109,48,45,426,157,19.6,6.4,6.6,3.5,17424.0,4123.0,27.7,4.7,12.7,2.2,29.5,3.5,15.5,3.2,11.8,5.0,75.0,7.0,8.1,3.0,0.0,1.3,11.6,3.4,14.1,5.7,2.5,2.4,6.3,2.3,0.6662,0.6791,0.7884,0.7622,2.8959,0.7826,0.5337,0.7341,0.7366,0.6339,2.6383,0.8518,0.6733,0.6756,1.3489,0.6869,0.0,0.7541,0.9376,0.328,0.9325,2.9522,0.7733,9.8353,0.8399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1994,489,31.6,6.6,5938
48,TEXAS,TX,48005,Angelina,48005000700,"Census Tract 7, Angelina County, Texas",1.110768349556,4256,568,1372,120,1197,135,1524,610,416,168,11814,2119,862,230,256,94,1382,357,522,150,288,132,3662,607,735,240,57,66,21,25,167,97,97,60,58,50,36.0,12.6,19.4,7.1,11814.0,2119.0,36.2,8.3,6.0,2.2,32.5,7.2,12.3,3.2,24.1,10.7,86.0,8.5,19.4,5.9,4.2,4.8,1.5,1.8,14.0,8.0,8.1,4.9,1.4,1.2,0.9179,0.9929,0.9619,0.863,3.7357,0.985,0.1148,0.8739,0.5376,0.9738,2.5001,0.7924,0.7812,0.8808,1.662,0.8489,0.4675,0.522,0.9365,0.7454,0.7856,3.457,0.9244,11.3548,0.9743,1,1,1,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,1,5,973,251,22.9,5.6,7148
48,TEXAS,TX,48005,Angelina,48005000800,"Census Tract 8, Angelina County, Texas",7.316701240054,6054,445,2511,139,2300,161,560,305,132,92,23692,2878,457,148,1115,209,1550,273,1135,262,367,156,2517,599,199,138,206,103,42,51,71,89,71,63,89,48,9.3,5.2,4.6,3.2,23692.0,2878.0,11.4,3.6,18.4,3.3,25.6,4.1,18.9,4.3,16.0,6.7,41.6,9.4,3.6,2.5,8.2,4.1,1.7,2.0,3.1,3.9,3.1,2.7,1.5,0.8,0.3179,0.4416,0.5688,0.3946,1.7229,0.412,0.8125,0.4964,0.8688,0.8223,3.0,0.9625,0.3516,0.4614,0.813,0.4074,0.584,0.5408,0.4336,0.3977,0.7936,2.7497,0.6988,8.2856,0.6369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851,405,14.1,6.8,11340
48,TEXAS,TX,48005,Angelina,48005000901,"Census Tract 9.01, Angelina County, Texas",3.812890069088,6484,659,2760,132,2509,159,917,735,43,56,30878,5107,457,230,1116,139,1835,500,964,235,269,120,2855,846,86,122,378,125,0,19,0,26,148,89,66,33,14.4,10.6,1.5,1.8,30878.0,5107.0,10.9,5.4,17.2,2.9,28.3,7.2,14.9,4.0,10.7,4.8,44.0,12.3,1.4,2.1,13.7,4.5,0.0,1.4,0.0,1.1,5.9,3.5,1.0,0.5,0.5098,0.0588,0.3454,0.3743,1.2883,0.2783,0.7668,0.6689,0.7029,0.5725,2.7111,0.8807,0.3782,0.2219,0.6001,0.2888,0.6827,0.0,0.0,0.6279,0.749,2.0596,0.3986,6.6591,0.4132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,407,10.4,5.8,4578
48,TEXAS,TX,48005,Angelina,48005000902,"Census Tract 9.02, Angelina County, Texas",4.22776284572,3745,401,1932,99,1626,145,431,166,66,58,42264,8357,279,182,726,151,604,184,463,144,21,29,1357,518,123,90,368,119,138,86,78,62,73,35,209,109,12.2,4.7,3.3,2.9,42264.0,8357.0,11.1,6.9,19.4,4.4,16.1,4.6,12.4,3.8,1.3,1.8,36.2,13.3,3.4,2.5,19.0,6.1,7.1,4.4,4.8,3.8,4.5,2.1,5.6,2.8,0.4312,0.2593,0.1558,0.3822,1.2285,0.2581,0.8485,0.0861,0.544,0.026,1.5046,0.2057,0.2907,0.4466,0.7373,0.3613,0.7471,0.6923,0.5897,0.5268,0.9277,3.4836,0.9288,6.954,0.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,747,314,19.9,8.0,6417
