year,stateabbr,statedesc,cityname,geographiclevel,datasource,category,uniqueid,measure,data_value_unit,datavaluetypeid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,data_value_footnote_symbol,data_value_footnote,populationcount,geolocation,categoryid,measureid,cityfips,tractfips,short_question_text
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000306,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,16.5,13.9,19.5,,,2697,"
,  
(30.2971560125, -97.7002733875)",PREVENT,ACCESS2,4805000,48453000306,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000307,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,11.9,10.3,14.5,,,1707,"
,  
(30.2970325018, -97.7125662163)",PREVENT,ACCESS2,4805000,48453000307,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000401,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,13.4,11.6,15.8,,,3574,"
,  
(30.288248219, -97.7250556275)",PREVENT,ACCESS2,4805000,48453000401,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000402,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,18.1,14.8,22.1,,,2606,"
,  
(30.2841414645, -97.7155188107)",PREVENT,ACCESS2,4805000,48453000402,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000500,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,15.2,12.5,18.6,,,4518,"
,  
(30.2960631844, -97.7341732747)",PREVENT,ACCESS2,4805000,48453000500,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000601,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,25.7,22.7,29.8,,,9207,"
,  
(30.2874118835, -97.7380441813)",PREVENT,ACCESS2,4805000,48453000601,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000603,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,23.9,20.3,27.7,,,7793,"
,  
(30.2919924148, -97.7462695279)",PREVENT,ACCESS2,4805000,48453000603,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000604,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,25,20.2,30,,,6496,"
,  
(30.2855339039, -97.7477273854)",PREVENT,ACCESS2,4805000,48453000604,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000700,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,14.4,12.2,17,,,1339,"
,  
(30.2776999882, -97.7411176287)",PREVENT,ACCESS2,4805000,48453000700,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000801,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,33.4,28.2,38.6,,,1498,"
,  
(30.2669542063, -97.7014857394)",PREVENT,ACCESS2,4805000,48453000801,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000802,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,28.3,24.7,32,,,3067,"
,  
(30.273555417, -97.7079841529)",PREVENT,ACCESS2,4805000,48453000802,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000803,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,17.5,14.8,20.8,,,2429,"
,  
(30.2768113039, -97.7204656888)",PREVENT,ACCESS2,4805000,48453000803,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000804,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,25.6,21.7,29.8,,,2295,"
,  
(30.2700913502, -97.7219450124)",PREVENT,ACCESS2,4805000,48453000804,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000901,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,21.2,17.3,25.5,,,2027,"
,  
(30.2655679932, -97.7237401242)",PREVENT,ACCESS2,4805000,48453000901,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453000902,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,30.4,25.3,35.6,,,5413,"
,  
(30.2591919575, -97.7159700432)",PREVENT,ACCESS2,4805000,48453000902,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001000,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,27.3,23.1,31.7,,,3656,"
,  
(30.2530553216, -97.7257084725)",PREVENT,ACCESS2,4805000,48453001000,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001100,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,13.8,11.4,17.3,,,5512,"
,  
(30.2662950547, -97.7424360537)",PREVENT,ACCESS2,4805000,48453001100,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001200,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,11.5,9.7,14.3,,,3836,"
,  
(30.2737247917, -97.7601218266)",PREVENT,ACCESS2,4805000,48453001200,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001303,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,11.6,9.4,14.6,,,2871,"
,  
(30.2593071583, -97.7636583064)",PREVENT,ACCESS2,4805000,48453001303,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001304,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,13.1,10.4,16.7,,,3614,"
,  
(30.2484064505, -97.7734337153)",PREVENT,ACCESS2,4805000,48453001304,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001305,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,14.3,12.1,17.3,,,5488,"
,  
(30.2518891368, -97.755535235)",PREVENT,ACCESS2,4805000,48453001305,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001307,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,18.6,15.4,22.2,,,3512,"
,  
(30.2362246189, -97.7686582057)",PREVENT,ACCESS2,4805000,48453001307,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001308,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,18.5,15.9,21.3,,,2670,"
,  
(30.2325448034, -97.7618787936)",PREVENT,ACCESS2,4805000,48453001308,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001401,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,11.7,9.6,14.6,,,2981,"
,  
(30.2500756585, -97.7460413706)",PREVENT,ACCESS2,4805000,48453001401,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001402,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,12,10.1,14.3,,,2499,"
,  
(30.2436544693, -97.740570904)",PREVENT,ACCESS2,4805000,48453001402,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001403,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,24.2,20,28.5,,,1490,"
,  
(30.2399175637, -97.7350701079)",PREVENT,ACCESS2,4805000,48453001403,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001501,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10.7,8.7,13.2,,,4787,"
,  
(30.3465767365, -97.7433025334)",PREVENT,ACCESS2,4805000,48453001501,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001503,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,18.4,16.2,21.1,,,3875,"
,  
(30.3272588203, -97.7157698879)",PREVENT,ACCESS2,4805000,48453001503,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001504,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,12.5,10.5,15,,,3925,"
,  
(30.3465471667, -97.7250886708)",PREVENT,ACCESS2,4805000,48453001504,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001505,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,12.7,10.8,15.3,,,4061,"
,  
(30.3363798606, -97.7304218616)",PREVENT,ACCESS2,4805000,48453001505,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001602,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,11.3,9.9,13.8,,,3301,"
,  
(30.2855533127, -97.7759300983)",PREVENT,ACCESS2,4805000,48453001602,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001603,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,7.5,6.7,9,,,4405,"
,  
(30.2984241639, -97.7564451619)",PREVENT,ACCESS2,4805000,48453001603,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001604,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,7.5,6.4,9.7,,,3984,"
,  
(30.3028790531, -97.7732678485)",PREVENT,ACCESS2,4805000,48453001604,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001605,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,9.6,8.4,11.4,,,3743,"
,  
(30.2867724621, -97.7605749891)",PREVENT,ACCESS2,4805000,48453001605,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001606,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,31.5,28.3,34.8,,,383,"
,  
(30.3056734899, -97.7608257681)",PREVENT,ACCESS2,4805000,48453001606,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001705,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,8.8,7.8,10.2,,,4662,"
,  
(30.369711599, -97.7740377256)",PREVENT,ACCESS2,4805000,48453001705,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001706,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10,8.5,11.9,,,3321,"
,  
(30.3825164181, -97.7554891237)",PREVENT,ACCESS2,4805000,48453001706,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001707,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,12.3,10.3,14.5,,,4305,"
,  
(30.3727904254, -97.746340078)",PREVENT,ACCESS2,4805000,48453001707,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001712,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,20,16.8,23.5,,,4008,"
,  
(30.2238522538, -97.7971960496)",PREVENT,ACCESS2,4805000,48453001712,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001713,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,17.5,14.9,20.4,,,3986,"
,  
(30.2107942383, -97.8052968794)",PREVENT,ACCESS2,4805000,48453001713,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001714,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,11.8,10.3,13.3,,,11332,"
,  
(30.4232100942, -97.8280150091)",PREVENT,ACCESS2,4805000,48453001714,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001716,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10.5,9,12.2,,,4987,"
,  
(30.3892678952, -97.8029503466)",PREVENT,ACCESS2,4805000,48453001716,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001718,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10.5,9.1,12.2,,,5442,"
,  
(30.3483038697, -97.7610247766)",PREVENT,ACCESS2,4805000,48453001718,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001719,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,8.3,6.9,10.3,,,3793,"
,  
(30.3496481393, -97.7809337795)",PREVENT,ACCESS2,4805000,48453001719,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001722,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,14.3,11.9,17.2,,,3592,"
,  
(30.3989182191, -97.7531633887)",PREVENT,ACCESS2,4805000,48453001722,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001728,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,17.2,14.4,20.2,,,6952,"
,  
(30.1957498764, -97.816558213)",PREVENT,ACCESS2,4805000,48453001728,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001729,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,19,16.2,21.9,,,4607,"
,  
(30.2027503265, -97.829376795)",PREVENT,ACCESS2,4805000,48453001729,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001737,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,11.1,9.7,12.9,,,9971,"
,  
(30.2146083411, -97.8797963828)",PREVENT,ACCESS2,4805000,48453001737,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001738,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,11.2,9.9,12.8,,,6647,"
,  
(30.2186732803, -97.859799421)",PREVENT,ACCESS2,4805000,48453001738,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001740,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,13.1,11.1,15.4,,,3764,"
,  
(30.1918324264, -97.8568183613)",PREVENT,ACCESS2,4805000,48453001740,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001742,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,13.9,10.4,18,,,184,"
,  
(30.3610509528, -97.9204696959)",PREVENT,ACCESS2,4805000,48453001742,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001745,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,13.4,11.4,15.8,,,2322,"
,  
(30.4243915281, -97.7380184815)",PREVENT,ACCESS2,4805000,48453001745,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001746,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,16.7,14.3,19.6,,,3916,"
,  
(30.1860608718, -97.838251775)",PREVENT,ACCESS2,4805000,48453001746,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001747,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,21,18.1,24.1,,,5105,"
,  
(30.1807705165, -97.8245896819)",PREVENT,ACCESS2,4805000,48453001747,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001748,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,16.9,14.5,19.8,,,4954,"
,  
(30.1706708363, -97.8390678065)",PREVENT,ACCESS2,4805000,48453001748,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001749,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,13.5,11.7,15.8,,,5989,"
,  
(30.2303531901, -97.8443716395)",PREVENT,ACCESS2,4805000,48453001749,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001750,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,17.8,15.3,20.4,,,3869,"
,  
(30.2198633299, -97.8221972985)",PREVENT,ACCESS2,4805000,48453001750,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001751,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,8.1,7.1,9.5,,,2065,"
,  
(30.3628740707, -97.7577287173)",PREVENT,ACCESS2,4805000,48453001751,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001752,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,17.9,14.8,22.1,,,3583,"
,  
(30.3576197191, -97.7498287811)",PREVENT,ACCESS2,4805000,48453001752,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001753,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,11.9,10.3,14.9,,,1121,"
,  
(30.3908023394, -97.7388705343)",PREVENT,ACCESS2,4805000,48453001753,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001754,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,13.8,12.2,15.8,,,4599,"
,  
(30.4065557514, -97.7373059981)",PREVENT,ACCESS2,4805000,48453001754,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001755,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,8.5,7.3,10.2,,,5615,"
,  
(30.4091796804, -97.7784833883)",PREVENT,ACCESS2,4805000,48453001755,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001756,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,12.2,10.7,13.8,,,3997,"
,  
(30.4261408587, -97.7697726347)",PREVENT,ACCESS2,4805000,48453001756,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001757,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10.5,8.9,12.7,,,1934,"
,  
(30.3978196994, -97.7639427818)",PREVENT,ACCESS2,4805000,48453001757,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001760,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10,8.5,11.9,,,1914,"
,  
(30.3654663308, -97.8837872622)",PREVENT,ACCESS2,4805000,48453001760,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001761,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10,8.4,12,,,6589,"
,  
(30.363129093, -97.832162857)",PREVENT,ACCESS2,4805000,48453001761,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001765,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10.5,9,12.4,,,2795,"
,  
(30.4225784692, -97.8676799862)",PREVENT,ACCESS2,4805000,48453001765,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001768,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,NA,NA,NA,*,Estimates suppressed for population less than 50,1,"
,  
(30.2647464659, -97.9111742179)",PREVENT,ACCESS2,4805000,48453001768,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001769,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,12.7,10.7,15.1,,,4657,"
,  
(30.2420746493, -97.8985089869)",PREVENT,ACCESS2,4805000,48453001769,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001770,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10,8.3,12.1,,,11408,"
,  
(30.1897730385, -97.8909285606)",PREVENT,ACCESS2,4805000,48453001770,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001772,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,23.4,20.1,27.1,,,2343,"
,  
(30.1510668591, -97.8353659518)",PREVENT,ACCESS2,4805000,48453001772,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001774,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,15.4,13.2,18,,,6422,"
,  
(30.1553955337, -97.8471187274)",PREVENT,ACCESS2,4805000,48453001774,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001775,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,12.4,10.1,15.6,,,1864,"
,  
(30.1713278537, -97.8989705285)",PREVENT,ACCESS2,4805000,48453001775,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001776,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,15.6,13.3,18.3,,,2803,"
,  
(30.211852731, -97.8404475868)",PREVENT,ACCESS2,4805000,48453001776,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001777,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,15.4,13.7,17.5,,,5535,"
,  
(30.2047085014, -97.849773064)",PREVENT,ACCESS2,4805000,48453001777,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001781,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10.5,8.9,12.4,,,2251,"
,  
(30.4398224796, -97.7964239828)",PREVENT,ACCESS2,4805000,48453001781,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001782,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10.6,8.7,12.9,,,4955,"
,  
(30.429373646, -97.7930268848)",PREVENT,ACCESS2,4805000,48453001782,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001783,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,8.8,7.1,11,,,421,"
,  
(30.344379193, -97.869486999)",PREVENT,ACCESS2,4805000,48453001783,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001784,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,11.9,9.8,15.3,,,122,"
,  
(30.3275165765, -97.9043520204)",PREVENT,ACCESS2,4805000,48453001784,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001785,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,15.7,14.1,17.5,,,3143,"
,  
(30.4441914203, -97.7349579673)",PREVENT,ACCESS2,4805000,48453001785,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001786,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,15.6,12.9,19,,,4676,"
,  
(30.4336936631, -97.7486832428)",PREVENT,ACCESS2,4805000,48453001786,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001804,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,31.5,28.5,34.4,,,6362,"
,  
(30.3419421909, -97.7073262607)",PREVENT,ACCESS2,4805000,48453001804,Health Insurance
2017,TX,Texas,Austin,Census Tract,BRFSS,Prevention,4805000-48453001805,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,37.5,34.2,41.1,,,4750,"
,  
(30.3572024292, -97.7103158419)",PREVENT,ACCESS2,4805000,48453001805,Health Insurance
